02/27/14,01:05 PM,01:05 PM,Huskies at Red Sox,JetBlue Park,"Local Radio: WEEI 850",02/27/14,02/27/14,04:05 PM
02/27/14,03:33 AM,03:33 AM,Eagles at Red Sox,JetBlue Park,"Local Radio: WEEI 850",02/27/14,02/27/14,06:33 AM
02/28/14,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park,,02/28/14,02/28/14,04:05 PM
03/01/14,01:05 PM,01:05 PM,Red Sox at Twins,Hammond Stadium,"Local TV: MLBN (delay) ----- Local Radio: WEEI 93.7",03/01/14,03/01/14,04:05 PM
03/02/14,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park,"Local TV: NESN -- MLBN ----- Local Radio: WEEI 93.7",03/02/14,03/02/14,04:05 PM
03/03/14,01:05 PM,01:05 PM,Red Sox at Pirates,McKechnie Field,,03/03/14,03/03/14,04:05 PM
03/04/14,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park,,03/04/14,03/04/14,04:05 PM
03/05/14,01:05 PM,01:05 PM,Red Sox at Cardinals,Roger Dean Stadium,,03/05/14,03/05/14,04:05 PM
03/06/14,01:05 PM,01:05 PM,Red Sox at Marlins,Roger Dean Stadium,,03/06/14,03/06/14,04:05 PM
03/07/14,01:05 PM,01:05 PM,Braves at Red Sox,JetBlue Park,,03/07/14,03/07/14,04:05 PM
03/08/14,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium,"Local TV: NESN",03/08/14,03/08/14,04:05 PM
03/08/14,07:05 PM,07:05 PM,Orioles at Red Sox,JetBlue Park,"Local Radio: WEEI 93.7",03/08/14,03/08/14,10:05 PM
03/09/14,01:05 PM,01:05 PM,Red Sox at Pirates,McKechnie Field,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/09/14,03/09/14,04:05 PM
03/10/14,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park,"Local TV: MLBN -- NESN",03/10/14,03/10/14,04:05 PM
03/11/14,01:05 PM,01:05 PM,Marlins at Red Sox,JetBlue Park,,03/11/14,03/11/14,04:05 PM
03/11/14,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium,,03/11/14,03/11/14,04:05 PM
03/13/14,01:05 PM,01:05 PM,Red Sox at Twins,Hammond Stadium,"Local TV: MLBN",03/13/14,03/13/14,04:05 PM
03/14/14,01:05 PM,01:05 PM,Red Sox at Blue Jays,Florida Auto Exchange Stadium,,03/14/14,03/14/14,04:05 PM
03/15/14,07:05 PM,07:05 PM,Phillies at Red Sox,JetBlue Park,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7",03/15/14,03/15/14,10:05 PM
03/16/14,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/16/14,03/16/14,04:05 PM
03/17/14,01:05 PM,01:05 PM,Cardinals at Red Sox,JetBlue Park,"Local TV: ESPN ----- Local Radio: WEEI 850",03/17/14,03/17/14,04:05 PM
03/18/14,01:05 PM,01:05 PM,Red Sox at Yankees,George M. Steinbrenner Field,"Local TV: ESPN --- Local Radio: WEEI 850",03/18/14,03/18/14,04:05 PM
03/19/14,07:05 PM,07:05 PM,Pirates at Red Sox,JetBlue Park,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/19/14,03/19/14,10:05 PM
03/20/14,07:05 PM,07:05 PM,Yankees at Red Sox,JetBlue Park,"Local TV: ESPN -- NESN ----- Local Radio: WEEI 93.7",03/20/14,03/20/14,10:05 PM
03/21/14,01:05 PM,01:05 PM,Red Sox at Phillies,Bright House Field,"Local TV: MLBN",03/21/14,03/21/14,04:05 PM
03/22/14,01:05 PM,01:05 PM,Red Sox at Braves,Champion Stadium,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/22/14,03/22/14,04:05 PM
03/23/14,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park,"Local TV: NESN -- MLBN (delay) ----- Local Radio: WEEI 93.7",03/23/14,03/23/14,04:05 PM
03/24/14,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium,"Local TV: MLBN (delay)",03/24/14,03/24/14,04:05 PM
03/25/14,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park,"Local TV: NESN",03/25/14,03/25/14,04:05 PM
03/26/14,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park,,03/26/14,03/26/14,04:05 PM
